stimStart,ButtonPressed,Value,TargetTime
351.98253179199946,358.70220248900023,0.0,356.482360342
351.98253179199946,358.70220248900023,0.0,356.482360342
359.9819349919999,366.69443840700023,0.0,
359.9819349919999,366.69443840700023,0.0,
367.98197041599997,374.9351718079997,0.0,371.10602592099985
367.98197041599997,374.9351718079997,0.0,371.10602592099985
375.98113379000006,382.4292514789995,0.0,
375.98113379000006,382.4292514789995,0.0,
383.98106871300024,390.20562930399956,1.0,388.9810103939999
383.98106871300024,390.20562930399956,1.0,388.9810103939999
399.97807461199955,406.52051165099965,0.0,
399.97807461199955,406.52051165099965,0.0,
407.9797292129997,414.71188943800007,0.0,
407.9797292129997,414.71188943800007,0.0,
415.9780033349998,420.62980034799966,1.0,
415.9780033349998,420.62980034799966,1.0,
423.9786378480003,430.62126825499945,0.0,428.1032353439996
